,Unnamed: 0,store,type,department,date,weekly_sales,is_holiday,temperature_c,fuel_price_usd_per_l,unemployment,amount_of_sales\(gallon\)
2,2,1,A,1,2010-04-02,57258.43,False,16.81666666666667,0.718284148876872,7.808,41127.822658575955
171,171,1,A,16,2010-05-07,52933.2,False,22.52777777777778,0.7489281213923986,7.808,39643.162035288115
201,201,1,A,18,2010-12-03,53845.12,False,9.594444444444449,0.7153782549314341,7.837999999999999,38519.62798217367
432,432,1,A,38,2010-02-05,115564.35,False,5.727777777777779,0.6794508388787476,8.106,78520.29455197719
433,433,1,A,38,2010-03-05,108282.86,False,8.055555555555555,0.693451964252221,8.106,75088.96196184825
434,434,1,A,38,2010-04-02,101566.87,False,16.81666666666667,0.718284148876872,7.808,72953.8727720379
435,435,1,A,38,2010-05-07,107634.21,False,22.52777777777778,0.7489281213923986,7.808,80610.28669285493
436,436,1,A,38,2010-06-04,96137.67,False,27.05,0.7145857384008601,7.808,68698.60790508823
437,437,1,A,38,2010-07-02,100958.25,False,27.17222222222222,0.7050755400339724,7.787000000000001,71183.1926396348
438,438,1,A,38,2010-08-06,93809.75,False,30.64444444444444,0.693980308605937,7.787000000000001,65102.119255245794
439,439,1,A,38,2010-09-03,90990.93,False,27.338888888888885,0.6807716997630375,7.787000000000001,61944.05007911956
440,440,1,A,38,2010-10-01,112126.81,False,22.16111111111111,0.6876401763613453,7.837999999999999,77102.89940323506
441,441,1,A,38,2010-11-05,77547.67,False,14.855555555555558,0.7103589835711321,7.837999999999999,55086.68403950958
442,442,1,A,38,2010-12-03,87338.34,False,9.594444444444449,0.7153782549314341,7.837999999999999,62479.94925780827
443,443,1,A,38,2011-01-07,85242.8,False,9.038888888888891,0.7861763983293752,7.742000000000001,67015.87748751127
444,444,1,A,40,2010-02-05,66780.63,False,5.727777777777779,0.6794508388787476,8.106,45374.15507435126
445,445,1,A,40,2010-03-05,67000.83,False,8.055555555555555,0.693451964252221,8.106,46461.857170029136
446,446,1,A,40,2010-04-02,62278.04,False,16.81666666666667,0.718284148876872,7.808,44733.32895511979
447,447,1,A,40,2010-05-07,61099.85,False,22.52777777777778,0.7489281213923986,7.808,45759.39587785734
448,448,1,A,40,2010-06-04,58507.93,False,27.05,0.7145857384008601,7.808,41808.93236135584
